Bulk Bags|$9.45|https://images-na.ssl-images-amazon.com/images/I/41oDAdZGl5L.jpg|https://zerowastehome.com/product/simple-ecology-organic-cotton-muslin-produce-bags/|Zero Waste Home Shop|bulk bags|
Large Stainless Container|$86.80|https://images-na.ssl-images-amazon.com/images/I/51dMTMQoSuL.jpg|https://zerowastehome.com/product/stainless-steel-rectangular-kimchi-food-storage-container-8l-271oz-12/|Zero Waste Home Shop|large stainless container|
Organic Cotton Mesh Produce Bags|$10.45|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101515/Screenshot-2017-09-06-15.57.02.png|https://zerowastehome.com/product/simple-ecology-reusable-organic-cotton-mesh-grocery-shopping-produce-bags/|Zero Waste Home Shop|organic cotton mesh produce bags|
Swing Top Bottle 750 ml Set of 6|$34.95|https://images-na.ssl-images-amazon.com/images/I/41olBKahueL.jpg|https://zerowastehome.com/product/sally-swing-top-bottle-with-ez-open-cap-750-ml-set-of-6-homebrewing-kombucha-water-beer-antique-bottles/|Zero Waste Home Shop|swing top bottle ml set|
Water-Soluble Wax Crayons Set of 12|$13.90|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101511/lyra-aquacolor-600x320.jpg|https://zerowastehome.com/product/lyra-aqua-color-water-soluble-wax-crayons-assorted-colors-5611120/|Zero Waste Home Shop|watersoluble wax crayons set|
Wide Mouth Jar Set of 2|$18.99|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20180208200756/Screenshot-23.png|https://zerowastehome.com/product/le-parfait-french-super-terrine-wide-mouth-jar-1000-grams-with-100-mm-gasket-pack-of-2/|Zero Waste Home Shop|wide mouth jar set|
Grocery Bag with Bottle Sleeves|$8.95|https://images-na.ssl-images-amazon.com/images/I/31JqbkSlsFL.jpg|https://zerowastehome.com/product/simple-ecology-organic-cotton-deluxe-reusable-grocery-bag-with-bottle-sleeves/|Zero Waste Home Shop|grocery bag bottle sleeves|
Bottle Pourers Set of 6|$9.99|https://images-na.ssl-images-amazon.com/images/I/31XFNj0FORL.jpg|https://zerowastehome.com/product/chrome-bottle-pourers-set-of-6/|Zero Waste Home Shop|bottle pourers set|
Bulk Jar|$15.25|https://images-na.ssl-images-amazon.com/images/I/41CIr-Vmw0L.jpg|https://zerowastehome.com/product/anchor-hocking-1-gallon-penny-candy-jar/|Zero Waste Home Shop|bulk jar|
Cotton Washcloths Set of 24|$13.99|https://images-na.ssl-images-amazon.com/images/I/61cTLAtsBtL.jpg|https://zerowastehome.com/product/amazonbasics-cotton-washcloths/|Zero Waste Home Shop|cotton washcloths set|
Flour Sack Towels Set of 12|$21.95|https://images-na.ssl-images-amazon.com/images/I/41CWTdWhA3L.jpg|https://zerowastehome.com/product/nouvelle-legende-cotton-flour-sack-towels-commercial-grade-28in-x-29in-12pk/|Zero Waste Home Shop|flour sack towels set|
Ice Cube Tray|$22.97|https://images-na.ssl-images-amazon.com/images/I/41Cy2GhbbNL.jpg|https://zerowastehome.com/product/healthylifestyle-ice-cube-tray-18-slot-stainless-steel/|Zero Waste Home Shop|ice cube tray|
Klean Kanteen Insulated Mug|$25.38|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101510/Screenshot-2017-09-11-16.11.35-450x600.png|https://zerowastehome.com/product/klean-kanteen-insulated-wide-stainless-steel-coffee-mug-with-cafe-cap-2-0/|Zero Waste Home Shop|klean kanteen insulated mug|
Large Stainless Container|$86.80|https://images-na.ssl-images-amazon.com/images/I/51dMTMQoSuL.jpg|https://zerowastehome.com/product/stainless-steel-rectangular-kimchi-food-storage-container-8l-271oz-12/|Zero Waste Home Shop|large stainless container|
Multi-Pour Jars Set of 8|$19.67|https://images-na.ssl-images-amazon.com/images/I/41kop5HClTL.jpg|https://zerowastehome.com/product/cook-n-home-02504-8-piece-spice-bottle-with-stainless-steel-cap-set-silver/|Zero Waste Home Shop|multipour jars set|
Pot Brush|$9.99|https://images-na.ssl-images-amazon.com/images/I/51iMtiJLvBL.jpg|https://zerowastehome.com/product/burstenhaus-redecker-pot-brush/|Zero Waste Home Shop|pot brush|
Scourer Set of 2|$5.99|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101511/Screenshot-2017-09-08-16.50.03-600x600.png|https://zerowastehome.com/product/hulless-set-of-2-stainless-steel-sponges-scrubbersstainless-steel-scourer-pot-brush-kitchen-utensil-cleaning-cooking-tools60gpcs/|Zero Waste Home Shop|scourer set|
Sink Strainer|$7.78|https://images-na.ssl-images-amazon.com/images/I/512LXrAXASL.jpg|https://zerowastehome.com/product/rsvp-endurance-sink-strainer-large-2-12-to-3-14/|Zero Waste Home Shop|sink strainer|
Stainless Cocktail Picks Set of 20|$14.99|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171128164339/718ewbFuOsL._SX522_.jpg|https://zerowastehome.com/product/satinior-20-pieces-stainless-steel-cocktail-picks-fruit-stick-toothpicks-4-3-inches/|Zero Waste Home Shop|stainless cocktail picks set|
Stainless French Press|$59.99|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171129155552/Capture1.jpg|https://zerowastehome.com/product/stainless-steel-french-press-coffee-maker-34oz-double-wall-insulated-espresso-tea-maker/|Zero Waste Home Shop|stainless french press|
Stainless Steel Scoop|$17.50|https://images-na.ssl-images-amazon.com/images/I/41LlaZo0jKL.jpg|https://zerowastehome.com/product/stainless-steel-scoop-medium/|Zero Waste Home Shop|stainless steel scoop|
Stainless Steel Straw|$4.99|https://images-na.ssl-images-amazon.com/images/I/311oj8d7KRL.jpg|https://zerowastehome.com/product/stainless-steel-drinking-straw/|Zero Waste Home Shop|stainless steel straw|
Stainless Turntable|$25.42|https://images-na.ssl-images-amazon.com/images/I/31dmWFIm4CL.jpg|https://zerowastehome.com/product/dial-industries-single-tier-stainless-steel-turntable-space-saving-organizer/|Zero Waste Home Shop|stainless turntable|
Swing Top Bottle 750 ml Set of 6|$34.95|https://images-na.ssl-images-amazon.com/images/I/41olBKahueL.jpg|https://zerowastehome.com/product/sally-swing-top-bottle-with-ez-open-cap-750-ml-set-of-6-homebrewing-kombucha-water-beer-antique-bottles/|Zero Waste Home Shop|swing top bottle ml set|
The Flavor Bible|$38.00|https://images-na.ssl-images-amazon.com/images/I/51Xn5VmVMcL.jpg|https://zerowastehome.com/product/the-flavor-bible-the-essential-guide-to-culinary-creativity-based-on-the-wisdom-of-americas-most-imaginative-chefs/|Zero Waste Home Shop|flavor bible|
Wide Mouth Jar Set of 2|$18.99|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20180208200756/Screenshot-23.png|https://zerowastehome.com/product/le-parfait-french-super-terrine-wide-mouth-jar-1000-grams-with-100-mm-gasket-pack-of-2/|Zero Waste Home Shop|wide mouth jar set|
Alum Stone Deodorant|$19.40|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20180208151842/Screenshot-18-600x600.png|https://zerowastehome.com/product/osma-extra-large-230g-100-pure-potassium-alum-natural-deodorant-astringent-made-in-france-bulk-packed-no-packaging-or-labelling/|Zero Waste Home Shop|alum stone deodorant|
Bamboo Toothbrushes Set of 4|$11.97|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101505/toothbrushes.png|https://zerowastehome.com/product/wowe-natural-bamboo-toothbrush-individually-numbered-bpa-free-bristles-pack-of-4/|Zero Waste Home Shop|bamboo toothbrushes set|
Beeswax|$9.75|https://images-na.ssl-images-amazon.com/images/I/31XoG-KixyL.jpg|https://zerowastehome.com/product/1lb-raw-yellow-beeswax-unbleached-great-for-many-uses/|Zero Waste Home Shop|beeswax|
Ear Pick|$1.99|https://images-na.ssl-images-amazon.com/images/I/31Hwx1Y8DcL.jpg|https://zerowastehome.com/product/ear-pick-earpick-curette-wax-removal-remover-cleaner-home-tool/|Zero Waste Home Shop|ear pick|
Eyebrow Brush and Spoolie|$1.76|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101507/mascara-217x600.png|https://zerowastehome.com/product/unke-eye-brow-brush-%c2%a8c-1-piece-double-sided-eyebrow-brush-with-spoolie-to-define-pro-eyeliner-brush-mascara-brushes-professional-tools-for-define-lash-brow-cosmetics/|Zero Waste Home Shop|eyebrow brush spoolie|
Hair Brush|$14.95|https://images-na.ssl-images-amazon.com/images/I/41ZavMy5jUL.jpg|https://zerowastehome.com/product/brush-large-oval-cushion-wood-bristles-wood-handle-bass-brushes-1-brush/|Zero Waste Home Shop|hair brush|
Handkerchiefs Set of 3|$17.99|https://images-na.ssl-images-amazon.com/images/I/3128X%2BzPAIL.jpg|https://zerowastehome.com/product/the-organic-handkerchiefs-company-set-of-organic-cotton-handkerchiefs-medium/|Zero Waste Home Shop|handkerchiefs set|
Menstrual Cup|$27.27|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101507/diva-cup-595x600.png|https://zerowastehome.com/product/diva-cup-diva-cup-1-pre-childbirth/|Zero Waste Home Shop|menstrual cup|
Metal Containers Set of 3|$6.99|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101506/lip-balm-600x260.png|https://zerowastehome.com/product/metal-slide-top-tin-containers-small-for-crafts-geocache-storage-survival-kit-by-magnakoys-pack-of-3/|Zero Waste Home Shop|metal containers set|
Multi-Pour Jars Set of 8|$19.67|https://images-na.ssl-images-amazon.com/images/I/41kop5HClTL.jpg|https://zerowastehome.com/product/cook-n-home-02504-8-piece-spice-bottle-with-stainless-steel-cap-set-silver/|Zero Waste Home Shop|multipour jars set|
Nail File|$4.85|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101507/nailfile-298x600.png|https://zerowastehome.com/product/diamond-deb-nail-files/|Zero Waste Home Shop|nail file|
Neti Pot|$9.61|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101506/neti-600x333.png|https://zerowastehome.com/product/ancient-secrets-ceramic-nasal-cleansing-pot-1-neti-pot/|Zero Waste Home Shop|neti pot|
Powder Brush|$36.00|https://images-na.ssl-images-amazon.com/images/I/31YnCUOvddL.jpg|https://zerowastehome.com/product/jane-iredale-chisel-powder-brush/|Zero Waste Home Shop|powder brush|
Razor Blades Set of 30|$5.58|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101507/Capture-600x507.png|https://zerowastehome.com/product/astra-superior-platinum-double-edge-razor-blades-30-ct/|Zero Waste Home Shop|razor blades set|
Safety Razor|$46.99|https://images-na.ssl-images-amazon.com/images/I/31yQSUqEeJL.jpg|https://zerowastehome.com/product/edwin-jagger-chrome-lined-double-edge-razor-long-handle/|Zero Waste Home Shop|safety razor|
Soap Dish|$30.00|https://images-na.ssl-images-amazon.com/images/I/31VqQALJ0yL.jpg|https://zerowastehome.com/product/nexio-soap-dish-by-blomus/|Zero Waste Home Shop|soap dish|
Spray Bottle|$2.29|https://s3-us-east-2.amazonaws.com/zerowaste-media/wp-content/uploads/20171109101500/spray-bottle.jpg|https://zerowastehome.com/product/piping-rock-amber-glass-spray-bottle-2-fl-oz-59-ml/|Zero Waste Home Shop|spray bottle|
